X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
1.527253,0.86299375,-0.84838601,0
1.528253,0.86443495,-0.8471715,0
1.529253,0.86589617,-0.84596775,0
1.530253,0.86737733,-0.84477454,0
1.531253,0.86887831,-0.84359167,0
1.532253,0.87039902,-0.8424189,0
1.533253,0.87193936,-0.84125601,0
1.534253,0.87349923,-0.8401028,0
1.535253,0.87507852,-0.83895903,0
1.536253,0.87667714,-0.83782449,0
1.537253,0.87829498,-0.83669897,0
1.538253,0.87993195,-0.83558223,0
1.539253,0.88158795,-0.83447407,0
1.540253,0.88326287,-0.83337427,0
1.541253,0.88495663,-0.8322826,0
1.542253,0.88666911,-0.83119886,0
1.543253,0.88840023,-0.83012281,0
1.544253,0.89014988,-0.82905426,0
1.545253,0.89191796,-0.82799297,0
1.546253,0.89370438,-0.82693873,0
1.547253,0.89550904,-0.82589132,0
1.548253,0.89733184,-0.82485054,0
1.549253,0.89917268,-0.82381616,0
1.550253,0.90103147,-0.82278797,0
1.551253,0.90290811,-0.82176575,0
1.552253,0.9048025,-0.82074928,0
1.553253,0.90671455,-0.81973836,0
1.554253,0.90864415,-0.81873277,0
1.555253,0.91059122,-0.8177323,0
1.556253,0.91255566,-0.81673672,0
1.557253,0.91453736,-0.81574583,0
1.558253,0.91653624,-0.81475942,0
1.559253,0.9185522,-0.81377727,0
1.560253,0.92058514,-0.81279918,0
1.561253,0.92263497,-0.81182492,0
1.562253,0.9247016,-0.81085429,0
1.563253,0.92678492,-0.80988708,0
1.564253,0.92888484,-0.80892308,0
1.565253,0.93100128,-0.80796208,0
1.566253,0.93313412,-0.80700386,0
1.567253,0.93528329,-0.80604823,0
1.568253,0.93744868,-0.80509496,0
1.569253,0.9396302,-0.80414386,0
1.570253,0.94182776,-0.80319472,0
1.571253,0.94404126,-0.80224732,0
1.572253,0.94627062,-0.80130146,0
1.573253,0.94851572,-0.80035695,0
1.574253,0.95077649,-0.79941356,0
1.575253,0.95305283,-0.79847109,0
1.576253,0.95534464,-0.79752934,0
1.577253,0.95765183,-0.79658811,0
1.578253,0.95997432,-0.7956472,0
1.579253,0.96231199,-0.79470639,0
1.580253,0.96466477,-0.79376548,0
1.581253,0.96703256,-0.79282429,0
1.582253,0.96941527,-0.79188259,0
1.583253,0.9718128,-0.79094019,0
1.584253,0.97422506,-0.78999689,0
1.585253,0.97665196,-0.7890525,0
1.586253,0.97909341,-0.7881068,0
1.587253,0.9815493,-0.78715961,0
1.588253,0.98401956,-0.78621071,0
1.589253,0.98650409,-0.78525992,0
1.590253,0.98900279,-0.78430704,0
1.591253,0.99151558,-0.78335187,0
1.592253,0.99404236,-0.78239421,0
1.593253,0.99658303,-0.78143387,0
1.594253,0.99913751,-0.78047064,0
1.595253,1.0017057,-0.77950435,0
1.596253,1.0042875,-0.77853479,0
1.597253,1.0068829,-0.77756177,0
1.598253,1.0094916,-0.77658509,0
1.599253,1.0121138,-0.77560456,0
1.600253,1.0147491,-0.77462,0
1.601253,1.0173977,-0.7736312,0
1.602253,1.0200593,-0.77263798,0
1.603253,1.0227338,-0.77164015,0
1.604253,1.0254213,-0.77063751,0
1.605253,1.0281215,-0.76962988,0
1.606253,1.0308344,-0.76861707,0
1.607253,1.03356,-0.76759889,0
1.608253,1.036298,-0.76657515,0
1.609253,1.0390484,-0.76554566,0
1.610253,1.0418112,-0.76451024,0
1.611253,1.0445862,-0.76346871,0
1.612253,1.0473733,-0.76242087,0
1.613253,1.0501725,-0.76136654,0
1.614253,1.0529836,-0.76030553,0
1.615253,1.0558066,-0.75923767,0
1.616253,1.0586413,-0.75816277,0
1.617253,1.0614877,-0.75708064,0
