X:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TX-Body2-Model1(m/s^2),Y:Acc_TY-Body2-Model1(m/s^2),Y:Acc_TZ-Body2-Model1(m/s^2)
0.42825300,-8.5687129,-2.1855006,0.0000000
0.42925300,-8.5894920,-2.1478724,0.0000000
0.43025300,-8.6100978,-2.1100948,0.0000000
0.43125300,-8.6305285,-2.0721685,0.0000000
0.43225300,-8.6507826,-2.0340945,0.0000000
0.43325300,-8.6708585,-1.9958735,0.0000000
0.43425300,-8.6907546,-1.9575064,0.0000000
0.43525300,-8.7104692,-1.9189940,0.0000000
0.43625300,-8.7300009,-1.8803372,0.0000000
0.43725300,-8.7493480,-1.8415368,0.0000000
0.43825300,-8.7685090,-1.8025938,0.0000000
0.43925300,-8.7874822,-1.7635091,0.0000000
0.44025300,-8.8062662,-1.7242835,0.0000000
0.44125300,-8.8248593,-1.6849181,0.0000000
0.44225300,-8.8432601,-1.6454138,0.0000000
0.44325300,-8.8614669,-1.6057715,0.0000000
0.44425300,-8.8794782,-1.5659922,0.0000000
0.44525300,-8.8972925,-1.5260770,0.0000000
0.44625300,-8.9149083,-1.4860268,0.0000000
0.44725300,-8.9323240,-1.4458427,0.0000000
0.44825300,-8.9495381,-1.4055257,0.0000000
0.44925300,-8.9665492,-1.3650769,0.0000000
0.45025300,-8.9833558,-1.3244973,0.0000000
0.45125300,-8.9999563,-1.2837880,0.0000000
0.45225300,-9.0163492,-1.2429501,0.0000000
0.45325300,-9.0325332,-1.2019848,0.0000000
0.45425300,-9.0485067,-1.1608931,0.0000000
0.45525300,-9.0642682,-1.1196762,0.0000000
0.45625300,-9.0798164,-1.0783352,0.0000000
0.45725300,-9.0951498,-1.0368713,0.0000000
0.45825300,-9.1102670,-0.99528578,0.0000000
0.45925300,-9.1251665,-0.95357971,0.0000000
0.46025300,-9.1398470,-0.91175434,0.0000000
0.46125300,-9.1543070,-0.86981090,0.0000000
0.46225300,-9.1685451,-0.82775063,0.0000000
0.46325300,-9.1825600,-0.78557478,0.0000000
0.46425300,-9.1963503,-0.74328461,0.0000000
0.46525300,-9.2099146,-0.70088140,0.0000000
0.46625300,-9.2232516,-0.65836645,0.0000000
0.46725300,-9.2363600,-0.61574107,0.0000000
0.46825300,-9.2492383,-0.57300657,0.0000000
0.46925300,-9.2618854,-0.53016430,0.0000000
0.47025300,-9.2742998,-0.48721559,0.0000000
0.47125300,-9.2864803,-0.44416182,0.0000000
0.47225300,-9.2984256,-0.40100435,0.0000000
0.47325300,-9.3101345,-0.35774457,0.0000000
0.47425300,-9.3216056,-0.31438389,0.0000000
0.47525300,-9.3328377,-0.27092372,0.0000000
0.47625300,-9.3438296,-0.22736549,0.0000000
0.47725300,-9.3545800,-0.18371063,0.0000000
0.47825300,-9.3650878,-0.13996060,0.0000000
0.47925300,-9.3753517,-0.096116871,0.0000000
0.48025300,-9.3853705,-0.052180917,0.0000000
0.48125300,-9.3951432,-0.0081542304,0.0000000
0.48225300,-9.4046684,0.035961684,0.0000000
0.48325300,-9.4139450,0.080165309,0.0000000
0.48425300,-9.4229720,0.12445512,0.0000000
0.48525300,-9.4317481,0.16882956,0.0000000
0.48625300,-9.4402724,0.21328710,0.0000000
0.48725300,-9.4485436,0.25782615,0.0000000
0.48825300,-9.4565607,0.30244514,0.0000000
0.48925300,-9.4643226,0.34714249,0.0000000
0.49025300,-9.4718283,0.39191659,0.0000000
0.49125300,-9.4790768,0.43676582,0.0000000
0.49225300,-9.4860669,0.48168857,0.0000000
0.49325300,-9.4927977,0.52668319,0.0000000
0.49425300,-9.4992683,0.57174803,0.0000000
0.49525300,-9.5054775,0.61688144,0.0000000
0.49625300,-9.5114245,0.66208175,0.0000000
0.49725300,-9.5171082,0.70734727,0.0000000
0.49825300,-9.5225279,0.75267631,0.0000000
0.49925300,-9.5276824,0.79806717,0.0000000
0.50025300,-9.5325710,0.84351813,0.0000000
0.50125300,-9.5371927,0.88902747,0.0000000
0.50225300,-9.5415466,0.93459344,0.0000000
0.50325300,-9.5456320,0.98021432,0.0000000
0.50425300,-9.5494479,1.0258883,0.0000000
0.50525300,-9.5529936,1.0716137,0.0000000
0.50625300,-9.5562682,1.1173887,0.0000000
0.50725300,-9.5592709,1.1632115,0.0000000
0.50825300,-9.5620009,1.2090803,0.0000000
0.50925300,-9.5644575,1.2549933,0.0000000
0.51025300,-9.5666400,1.3009487,0.0000000
0.51125300,-9.5685476,1.3469446,0.0000000
0.51225300,-9.5701796,1.3929793,0.0000000
0.51325300,-9.5715353,1.4390509,0.0000000
0.51425300,-9.5726141,1.4851575,0.0000000
0.51525300,-9.5734152,1.5312973,0.0000000
0.51625300,-9.5739381,1.5774684,0.0000000
0.51725300,-9.5741821,1.6236690,0.0000000
0.51825300,-9.5741466,1.6698970,0.0000000
0.51925300,-9.5738310,1.7161507,0.0000000
0.52025300,-9.5732348,1.7624282,0.0000000
0.52125300,-9.5723574,1.8087275,0.0000000
0.52225300,-9.5711982,1.8550467,0.0000000
0.52325300,-9.5697568,1.9013839,0.0000000
0.52425300,-9.5680327,1.9477372,0.0000000
