X:Pos_TX-Body1-Model1(m),Y:Pos_TX-Body1-Model1(m),Y:Pos_TY-Body1-Model1(m),Y:Pos_TZ-Body1-Model1(m)
1.8672530,-0.26579331,-0.42350197,0.0000000
1.8682530,-0.26517761,-0.42388776,0.0000000
1.8692530,-0.26456013,-0.42427342,0.0000000
1.8702530,-0.26394085,-0.42465896,0.0000000
1.8712530,-0.26331978,-0.42504435,0.0000000
1.8722530,-0.26269691,-0.42542959,0.0000000
1.8732530,-0.26207224,-0.42581468,0.0000000
1.8742530,-0.26144578,-0.42619960,0.0000000
1.8752530,-0.26081753,-0.42658436,0.0000000
1.8762530,-0.26018747,-0.42696894,0.0000000
1.8772530,-0.25955562,-0.42735334,0.0000000
1.8782530,-0.25892197,-0.42773755,0.0000000
1.8792530,-0.25828652,-0.42812157,0.0000000
1.8802530,-0.25764927,-0.42850537,0.0000000
1.8812530,-0.25701021,-0.42888897,0.0000000
1.8822530,-0.25636936,-0.42927235,0.0000000
1.8832530,-0.25572670,-0.42965551,0.0000000
1.8842530,-0.25508225,-0.43003843,0.0000000
1.8852530,-0.25443599,-0.43042111,0.0000000
1.8862530,-0.25378792,-0.43080354,0.0000000
1.8872530,-0.25313806,-0.43118572,0.0000000
1.8882530,-0.25248639,-0.43156764,0.0000000
1.8892530,-0.25183291,-0.43194928,0.0000000
1.8902530,-0.25117764,-0.43233066,0.0000000
1.8912530,-0.25052055,-0.43271174,0.0000000
1.8922530,-0.24986167,-0.43309254,0.0000000
1.8932530,-0.24920098,-0.43347303,0.0000000
1.8942530,-0.24853849,-0.43385322,0.0000000
1.8952530,-0.24787419,-0.43423310,0.0000000
1.8962530,-0.24720809,-0.43461266,0.0000000
1.8972530,-0.24654018,-0.43499188,0.0000000
1.8982530,-0.24587048,-0.43537077,0.0000000
1.8992530,-0.24519896,-0.43574932,0.0000000
1.9002530,-0.24452565,-0.43612751,0.0000000
1.9012530,-0.24385053,-0.43650535,0.0000000
1.9022530,-0.24317361,-0.43688282,0.0000000
1.9032530,-0.24249489,-0.43725991,0.0000000
1.9042530,-0.24181437,-0.43763662,0.0000000
1.9052530,-0.24113204,-0.43801294,0.0000000
1.9062530,-0.24044792,-0.43838887,0.0000000
1.9072530,-0.23976199,-0.43876439,0.0000000
1.9082530,-0.23907427,-0.43913949,0.0000000
1.9092530,-0.23838474,-0.43951418,0.0000000
1.9102530,-0.23769342,-0.43988844,0.0000000
1.9112530,-0.23700030,-0.44026226,0.0000000
1.9122530,-0.23630539,-0.44063564,0.0000000
1.9132530,-0.23560868,-0.44100856,0.0000000
1.9142530,-0.23491017,-0.44138103,0.0000000
1.9152530,-0.23420987,-0.44175302,0.0000000
1.9162530,-0.23350778,-0.44212455,0.0000000
1.9172530,-0.23280390,-0.44249559,0.0000000
1.9182530,-0.23209823,-0.44286613,0.0000000
1.9192530,-0.23139076,-0.44323618,0.0000000
1.9202530,-0.23068151,-0.44360572,0.0000000
1.9212530,-0.22997048,-0.44397475,0.0000000
1.9222530,-0.22925765,-0.44434326,0.0000000
1.9232530,-0.22854304,-0.44471123,0.0000000
1.9242530,-0.22782665,-0.44507866,0.0000000
1.9252530,-0.22710848,-0.44544555,0.0000000
1.9262530,-0.22638853,-0.44581188,0.0000000
1.9272530,-0.22566680,-0.44617765,0.0000000
1.9282530,-0.22494329,-0.44654285,0.0000000
1.9292530,-0.22421801,-0.44690747,0.0000000
1.9302530,-0.22349095,-0.44727150,0.0000000
1.9312530,-0.22276212,-0.44763494,0.0000000
1.9322530,-0.22203153,-0.44799777,0.0000000
1.9332530,-0.22129916,-0.44835999,0.0000000
1.9342530,-0.22056503,-0.44872159,0.0000000
1.9352530,-0.21982913,-0.44908257,0.0000000
1.9362530,-0.21909147,-0.44944291,0.0000000
1.9372530,-0.21835205,-0.44980260,0.0000000
1.9382530,-0.21761087,-0.45016165,0.0000000
1.9392530,-0.21686794,-0.45052003,0.0000000
1.9402530,-0.21612325,-0.45087774,0.0000000
1.9412530,-0.21537681,-0.45123478,0.0000000
1.9422530,-0.21462862,-0.45159114,0.0000000
1.9432530,-0.21387869,-0.45194680,0.0000000
1.9442530,-0.21312701,-0.45230176,0.0000000
1.9452530,-0.21237359,-0.45265601,0.0000000
1.9462530,-0.21161843,-0.45300954,0.0000000
1.9472530,-0.21086153,-0.45336235,0.0000000
1.9482530,-0.21010289,-0.45371442,0.0000000
1.9492530,-0.20934253,-0.45406575,0.0000000
1.9502530,-0.20858044,-0.45441633,0.0000000
1.9512530,-0.20781662,-0.45476615,0.0000000
1.9522530,-0.20705107,-0.45511521,0.0000000
1.9532530,-0.20628381,-0.45546349,0.0000000
1.9542530,-0.20551483,-0.45581099,0.0000000
1.9552530,-0.20474413,-0.45615769,0.0000000
1.9562530,-0.20397172,-0.45650360,0.0000000
1.9572530,-0.20319761,-0.45684870,0.0000000
1.9582530,-0.20242178,-0.45719298,0.0000000
1.9592530,-0.20164426,-0.45753644,0.0000000
1.9602530,-0.20086504,-0.45787906,0.0000000
1.9612530,-0.20008412,-0.45822085,0.0000000
1.9622530,-0.19930151,-0.45856178,0.0000000
1.9632530,-0.19851721,-0.45890186,0.0000000
1.9642530,-0.19773122,-0.45924107,0.0000000
1.9652530,-0.19694356,-0.45957941,0.0000000
1.9662530,-0.19615421,-0.45991687,0.0000000
1.9672530,-0.19536319,-0.46025343,0.0000000
1.9682530,-0.19457050,-0.46058910,0.0000000
1.9692530,-0.19377615,-0.46092386,0.0000000
1.9702530,-0.19298012,-0.46125771,0.0000000
1.9712530,-0.19218244,-0.46159063,0.0000000
1.9722530,-0.19138311,-0.46192262,0.0000000
1.9732530,-0.19058212,-0.46225367,0.0000000
1.9742530,-0.18977948,-0.46258377,0.0000000
1.9752530,-0.18897520,-0.46291292,0.0000000
1.9762530,-0.18816928,-0.46324110,0.0000000
1.9772530,-0.18736173,-0.46356832,0.0000000
1.9782530,-0.18655254,-0.46389455,0.0000000
1.9792530,-0.18574173,-0.46421979,0.0000000
1.9802530,-0.18492929,-0.46454403,0.0000000
1.9812530,-0.18411524,-0.46486727,0.0000000
1.9822530,-0.18329957,-0.46518950,0.0000000
1.9832530,-0.18248229,-0.46551070,0.0000000
1.9842530,-0.18166341,-0.46583088,0.0000000
1.9852530,-0.18084293,-0.46615001,0.0000000
1.9862530,-0.18002085,-0.46646811,0.0000000
1.9872530,-0.17919718,-0.46678514,0.0000000
1.9882530,-0.17837192,-0.46710112,0.0000000
1.9892530,-0.17754509,-0.46741603,0.0000000
1.9902530,-0.17671667,-0.46772986,0.0000000
1.9912530,-0.17588669,-0.46804260,0.0000000
1.9922530,-0.17505513,-0.46835425,0.0000000
1.9932530,-0.17422202,-0.46866479,0.0000000
1.9942530,-0.17338735,-0.46897423,0.0000000
1.9952530,-0.17255112,-0.46928255,0.0000000
1.9962530,-0.17171335,-0.46958974,0.0000000
1.9972530,-0.17087404,-0.46989580,0.0000000
1.9982530,-0.17003320,-0.47020071,0.0000000
1.9992530,-0.16919082,-0.47050448,0.0000000
2.0002530,-0.16834692,-0.47080709,0.0000000
2.0012530,-0.16750149,-0.47110853,0.0000000
2.0022530,-0.16665455,-0.47140880,0.0000000
2.0032530,-0.16580611,-0.47170789,0.0000000
2.0042530,-0.16495616,-0.47200579,0.0000000
2.0052530,-0.16410471,-0.47230249,0.0000000
2.0062530,-0.16325177,-0.47259799,0.0000000
2.0072530,-0.16239734,-0.47289227,0.0000000
2.0082530,-0.16154143,-0.47318534,0.0000000
2.0092530,-0.16068405,-0.47347718,0.0000000
2.0102530,-0.15982520,-0.47376778,0.0000000
2.0112530,-0.15896488,-0.47405713,0.0000000
2.0122530,-0.15810311,-0.47434524,0.0000000
2.0132530,-0.15723989,-0.47463209,0.0000000
2.0142530,-0.15637522,-0.47491767,0.0000000
2.0152530,-0.15550911,-0.47520198,0.0000000
2.0162530,-0.15464157,-0.47548500,0.0000000
2.0172530,-0.15377260,-0.47576674,0.0000000
2.0182530,-0.15290221,-0.47604718,0.0000000
2.0192530,-0.15203040,-0.47632631,0.0000000
2.0202530,-0.15115719,-0.47660414,0.0000000
2.0212530,-0.15028258,-0.47688064,0.0000000
2.0222530,-0.14940657,-0.47715582,0.0000000
2.0232530,-0.14852917,-0.47742967,0.0000000
2.0242530,-0.14765039,-0.47770217,0.0000000
2.0252530,-0.14677023,-0.47797332,0.0000000
2.0262530,-0.14588871,-0.47824312,0.0000000
2.0272530,-0.14500582,-0.47851156,0.0000000
2.0282530,-0.14412158,-0.47877862,0.0000000
2.0292530,-0.14323598,-0.47904431,0.0000000
2.0302530,-0.14234905,-0.47930862,0.0000000
2.0312530,-0.14146078,-0.47957153,0.0000000
2.0322530,-0.14057117,-0.47983304,0.0000000
2.0332530,-0.13968025,-0.48009314,0.0000000
2.0342530,-0.13878801,-0.48035184,0.0000000
2.0352530,-0.13789447,-0.48060911,0.0000000
2.0362530,-0.13699962,-0.48086495,0.0000000
2.0372530,-0.13610348,-0.48111936,0.0000000
2.0382530,-0.13520605,-0.48137233,0.0000000
2.0392530,-0.13430735,-0.48162385,0.0000000
2.0402530,-0.13340737,-0.48187392,0.0000000
2.0412530,-0.13250612,-0.48212252,0.0000000
2.0422530,-0.13160362,-0.48236966,0.0000000
2.0432530,-0.13069986,-0.48261532,0.0000000
2.0442530,-0.12979487,-0.48285950,0.0000000
2.0452530,-0.12888863,-0.48310218,0.0000000
2.0462530,-0.12798117,-0.48334338,0.0000000
2.0472530,-0.12707248,-0.48358307,0.0000000
2.0482530,-0.12616258,-0.48382125,0.0000000
2.0492530,-0.12525148,-0.48405792,0.0000000
2.0502530,-0.12433918,-0.48429306,0.0000000
2.0512530,-0.12342568,-0.48452668,0.0000000
2.0522530,-0.12251100,-0.48475876,0.0000000
2.0532530,-0.12159515,-0.48498930,0.0000000
2.0542530,-0.12067812,-0.48521829,0.0000000
2.0552530,-0.11975994,-0.48544573,0.0000000
2.0562530,-0.11884060,-0.48567161,0.0000000
2.0572530,-0.11792012,-0.48589592,0.0000000
2.0582530,-0.11699850,-0.48611866,0.0000000
2.0592530,-0.11607575,-0.48633982,0.0000000
2.0602530,-0.11515187,-0.48655940,0.0000000
2.0612530,-0.11422689,-0.48677738,0.0000000
2.0622530,-0.11330080,-0.48699377,0.0000000
2.0632530,-0.11237361,-0.48720855,0.0000000
2.0642530,-0.11144533,-0.48742173,0.0000000
2.0652530,-0.11051596,-0.48763329,0.0000000
2.0662530,-0.10958553,-0.48784322,0.0000000
2.0672530,-0.10865403,-0.48805154,0.0000000
2.0682530,-0.10772147,-0.48825822,0.0000000
2.0692530,-0.10678786,-0.48846326,0.0000000
2.0702530,-0.10585321,-0.48866665,0.0000000
2.0712530,-0.10491752,-0.48886840,0.0000000
2.0722530,-0.10398081,-0.48906849,0.0000000
2.0732530,-0.10304308,-0.48926692,0.0000000
2.0742530,-0.10210435,-0.48946369,0.0000000
2.0752530,-0.10116461,-0.48965878,0.0000000
2.0762530,-0.10022388,-0.48985220,0.0000000
2.0772530,-0.099282167,-0.49004393,0.0000000
2.0782530,-0.098339478,-0.49023397,0.0000000
2.0792530,-0.097395821,-0.49042232,0.0000000
2.0802530,-0.096451205,-0.49060897,0.0000000
2.0812530,-0.095505639,-0.49079392,0.0000000
2.0822530,-0.094559130,-0.49097716,0.0000000
2.0832530,-0.093611688,-0.49115868,0.0000000
2.0842530,-0.092663320,-0.49133849,0.0000000
2.0852530,-0.091714035,-0.49151657,0.0000000
2.0862530,-0.090763841,-0.49169292,0.0000000
2.0872530,-0.089812747,-0.49186753,0.0000000
2.0882530,-0.088860762,-0.49204041,0.0000000
2.0892530,-0.087907894,-0.49221154,0.0000000
2.0902530,-0.086954151,-0.49238093,0.0000000
2.0912530,-0.085999542,-0.49254855,0.0000000
2.0922530,-0.085044076,-0.49271443,0.0000000
2.0932530,-0.084087761,-0.49287853,0.0000000
2.0942530,-0.083130605,-0.49304087,0.0000000
2.0952530,-0.082172618,-0.49320144,0.0000000
2.0962530,-0.081213808,-0.49336023,0.0000000
2.0972530,-0.080254183,-0.49351724,0.0000000
2.0982530,-0.079293753,-0.49367246,0.0000000
2.0992530,-0.078332525,-0.49382590,0.0000000
2.1002530,-0.077370509,-0.49397753,0.0000000
2.1012530,-0.076407713,-0.49412737,0.0000000
2.1022530,-0.075444145,-0.49427541,0.0000000
2.1032530,-0.074479815,-0.49442164,0.0000000
2.1042530,-0.073514731,-0.49456606,0.0000000
2.1052530,-0.072548902,-0.49470866,0.0000000
